,State/UT,Name of Medical College,City/Town,"Govt/ 
Private","Admission 
Capacity","No. of  
beds in  
Attached 
Hospital"
379,Tamil Nadu,"K A P Viswanathan Government Medical College, Trichy",Trichy,Govt.,150,621
380,Tamil Nadu,"KanyaKumari Government Medical College, Asaripallam",Asaripallam,Govt.,100,600
381,Tamil Nadu,"Karpaga Vinayaga Institute of Medical 
Sciences,Maduranthagam",Maduranthagam,Trust,100,600
382,Tamil Nadu,"Karpagam Faculty of Medical Sciences & Research, 
Coimbatore",Coimbatore,Trust,150,300
383,Tamil Nadu,"Kilpauk Medical College, Chennai",Chennai,Govt.,150,1073
384,Tamil Nadu,KMCH Institute of Health Sciences and Research,Coimbatore,Private,,
385,Tamil Nadu,"Madha Medical College & Hospital, Thandalam",Chennai,Trust,0,
386,Tamil Nadu,"Madras Medical College, Chennai",Chennai,Govt.,250,2772
387,Tamil Nadu,"Madurai Medical College, Madurai",Madurai,Govt.,150,2518
388,Tamil Nadu,"Meenakshi Medical College and Research Institute, Enathur",Enathur,Trust,150,840
389,Tamil Nadu,"Melmaruvathur Adiparasakthi Instt. Medical Sciences and 
Research",Melmaruvathur,Trust,150,700
390,Tamil Nadu,"Mohan Kumaramangalam Medical College, Salem",Salem,Govt.,100,1272
391,Tamil Nadu,"PSG Institute of Medical Sciences, Coimbatore",Coimbatore,Trust,150,1410
392,Tamil Nadu,"Rajah Muthiah Medical College, Annamalainagar",Annamalainagar,Govt.,150,700
393,Tamil Nadu,"Saveetha Medical College and Hospital, Kanchipuram",Kanchipuram,Trust,150,700
394,Tamil Nadu,"Shri Satya Sai Medical College and Research Institute, 
Kancheepuram",Kanchipuram,Trust,150,700
395,Tamil Nadu,"Sree Balaji Medical College and Hospital, Chennai",Chennai,Trust,250,1170
396,Tamil Nadu,"Sree Mookambika Institute of Medical Sciences, 
Kanyakumari",Kanyakumari,Trust,100,560
397,Tamil Nadu,"Sri Muthukumaran Medical College,Chennai",Chennai,Trust,150,530
398,Tamil Nadu,"Sri Ramachandra Medical College & Research Institute, 
Chennai",Chennai,Trust,250,1972
399,Tamil Nadu,"SRM Medical College Hospital & Research Centre, 
Kancheepuram",Kancheepuram,Trust,150,1080
400,Tamil Nadu,"Stanley Medical College, Chennai",Chennai,Govt.,250,1950
401,Tamil Nadu,"Tagore Medical College and Hospital, Chennai",Chennai,Trust,150,530
402,Tamil Nadu,"Thanjavur Medical College,Thanjavur",Thanjavur,Govt.,150,678
403,Tamil Nadu,"Theni Government Medical College,Theni",Theni,Govt.,100,600
404,Tamil Nadu,"Thiruvarur Govt. Medical College, Thiruvarur",Thiruvarur,Govt.,100,500
405,Tamil Nadu,"Thoothukudi Medical College, Thoothukudi",Thoothukudi,Govt.,150,1112
406,Tamil Nadu,"Tirunelveli Medical College,Tirunelveli",Tirunelveli,Govt.,150,1410
407,Tamil Nadu,"Trichy SRM Medical College Hospital & Research Centre, 
Trichy",Trichy,Trust,150,750
408,Tamil Nadu,"Velammal Medical College Hospital and Research Institute, 
Madurai",Madurai,Trust,150,300
409,Tamil Nadu,"Vinayaka Missions Kirupananda Variyar Medical College, 
Salem",Salem,Trust,100,
410,Telangana,"Apollo Institute of Medical Sciences and Research, 
Hyderabad",Hyderabad,Trust,100,300
411,Telangana,"Ayaan Institute of Medical Sciences, Teaching Hospital & 
Research Centre, Kanaka Mamidi",Kanaka Mamidi,Society,150,
412,Telangana,"Bhaskar Medical College, Yenkapally",Yenkapally,Trust,150,790
413,Telangana,"Chalmeda Anand Rao Insttitute Of Medical Sciences, 
Karimnagar",Karimnagar,Trust,150,840
414,Telangana,"Deccan College of Medical Sciences, Hyderabad",Hyderabad,Trust,150,515
415,Telangana,"Dr. Patnam Mahender Reddy Institute of Medical Sciences, 
Chevelle, Rangareddy",Chevella,Society,150,
416,Telangana,"Dr. VRK Womens Medical College, Aziznagar",Aziznagar,Trust,100,
417,Telangana,"Employee's State Insurance coporation Medical College, 
Sanath Nagar, Hyderabad.",Hyderabad,Govt.,100,
418,Telangana,"Gandhi Medical College,Secunderabad",Secunderabad,Govt.,200,1560
419,Telangana,Government Medical College,Mahabubnagar,Govt.,150,
420,Telangana,Government Medical College,Nalgonda,Govt.,,
421,Telangana,Government Medical College,Nizamabad,Govt.,100,500
422,Telangana,Government Medical College,Siddipet,Govt.,150,
423,Telangana,Government Medical College,Suryapet,Govt.,,
424,Telangana,"Kakatiya Medical College, Wrangal",Wrangal,Govt.,200,1010
425,Telangana,"Kamineni Academy of Medical Sciences & Research Center, 
Hyderabad",Hyderabad,Private,150,1060
426,Telangana,"Kamineni Institute of Medical Sciences, Narketpally",Narketpally,Trust,200,1060
427,Telangana,"Mahavir Institute of Medical Sciences, Vikarabad",Vikarabad,Trust,0,
428,Telangana,"Maheshwara Medical College, Chitkul, Patancheru, Medak",Medak,Society,0,
429,Telangana,"Malla Reddy Institute of Medical Sciences, Hyderabad",Hyderabad,Society,150,570
430,Telangana,"Mallareddy Medical College for Womens, Hyderabad",Hyderabad,Society,150,150
431,Telangana,Mamta Academy of MedicaL sciences,Bachupally,Society,,
432,Telangana,"Mamta Medical College, Khammam",Khammam,Trust,150,
433,Telangana,"Mediciti Institute Of Medical Sciences, Ghanpur",Ghanpur,Trust,150,570
434,Telangana,"MNR Medical College & Hospital, Sangareddy",Sangareddy,Trust,100,570
435,Telangana,"Osmania Medical College, Hyderabad",Hyderabad,Govt.,250,1168
436,Telangana,"Prathima Institute Of Medical Sciences, Karimnagar",Karimnagar,Trust,200,780
437,Telangana,"R.V.M. Institute of Medical Sciences and Research Centre, 
Medak",Medak,Trust,150,
438,Telangana,"Rajiv Gandhi Institute of Medical Sciences, Adilabad",Adilabad,Govt.,100,750
439,Telangana,Surabhi Institute of Medical Sciences,Siddipet,Society,,
440,Telangana,"S V S Medical College, Mehboobnagar",Mehboobnagar,Trust,100,750
441,Telangana,"Shadan Institute of Medical Sciences,Research Centre and 
Teaching Hospital, Peerancheru",Peerancheru,Society,150,750
442,Tripura,"Agartala Government Medical College,Agartala",Agartala,Govt.,100,695
443,Tripura,"Tripura Medical College and Dr. B R A M Teaching Hospital, 
Agartala",Agartala,Trust,100,500
444,Uttar Pradesh,"BRD Medical College, Gorakhpur",Gorakhpur,Govt.,100,900
445,Uttar Pradesh,"Career Instt. Of Medical Sciences & Hospital, Lucknow",Lucknow,Trust,100,400
446,Uttar Pradesh,"Dr. Ram Manohar Lohia Institute of Medical Sciences, 
Lucknow",Lucknow,Govt,150,
447,Uttar Pradesh,"Era Lucknow Medical College , Lucknow",Lucknow,Trust,150,700
448,Uttar Pradesh,"F.H. Medical College & Hospital, Firozabad",Firozabad,Trust,150,350
449,Uttar Pradesh,"G.C.R.G. Institute of Medical Sciences, Lucknow",Lucknow,Trust,0,300
450,Uttar Pradesh,"G.S. Medical College, & Hospital, Hapur",Hapur,Trust,150,
451,Uttar Pradesh,"Glocal Medical College, Super Specility Hospital & Research 
Centre, Saharanpur.",Saharanpur,Trust,0,300
452,Uttar Pradesh,"Government Allopathic Medical College, Banda, UP",Banda,Govt.,100,
453,Uttar Pradesh,"Government Institute of Medical Sciences, Kasna",Greater Noida,Govt-Society,,
454,Uttar Pradesh,Government Medical College,Badaun,Govt.,,
455,Uttar Pradesh,Government Medical College,Faizabad,Govt.,,
456,Uttar Pradesh,Government Medical College,Firozabad,Govt.,,
457,Uttar Pradesh,"Government Medical College & Super facility Hospital, 
Azamgarh",Azamgarh,Govt.,100,140
458,Uttar Pradesh,"Government Medical College, Kannauj",Kannauj,Govt.,100,300
459,Uttar Pradesh,Government Medical College,"Rampur, Basti",Govt.,,
460,Uttar Pradesh,Government Medical College,Sahajahanpur,Govt.,,
461,Uttar Pradesh,"GSVM Medial College, Kanpur",Kanpur,Govt.,190,1825
462,Uttar Pradesh,"Heritage Institute of Medical Sciences, Varanasi",Varanasi,Private,150,300
463,Uttar Pradesh,"Hind Institute of Medical Sciences , Barabanki",Barabanki,Trust,100,350
464,Uttar Pradesh,"Hind Institute of Medical Sciences, Sitapur.",Sitapur,Trust,150,300
465,Uttar Pradesh,"Institute of Medical Sciences, BHU, Varanasi",Varanasi,Govt.,84,1200
466,Uttar Pradesh,"Integral Institute of Medical Sciences & Research, Lucknow",Lucknow,Private,0,350
467,Uttar Pradesh,"Jawaharlal Nehru Medical College, Aligarh",Aligarh,Govt.,150,1250
468,Uttar Pradesh,"K.D.Medical college & Research Centre, Mathura",Mathura,Society,0,300
469,Uttar Pradesh,"King George Medical University, Lucknow",Lucknow,Govt,250,1250
470,Uttar Pradesh,"Krishna Mohan Medical College & Hospital, Mathura.",Mathura,Society,0,300
471,Uttar Pradesh,"LLRM Medical College, Merrut",Merrut,Govt.,150,1040
472,Uttar Pradesh,"Mahamaya Rajkiya Allopathic Medical College, 
Ambedkarnagar",Ambedkarnagar,Govt.,100,450
473,Uttar Pradesh,"Maharani Laxmi Bai Medical College, Jhansi",Jhansi,Govt.,100,700
474,Uttar Pradesh,"Major S D Singh Medical College and Hospital, Fathehgarh, 
Farrukhabad",Farrukhabad,Trust,0,350
475,Uttar Pradesh,"Manyavar Kanshi Ram Ji Government Allopathic Medical 
College",Kanpur,Govt.,100,300
476,Uttar Pradesh,"Mayo Institute of Medical Sciences, Barabanki",Barabanki,Trust,150,300
477,Uttar Pradesh,"Moti Lal Nehru Medical College, Allahabad",Allahabad,Govt.,150,850
478,Uttar Pradesh,"Mulayam Singh Yadav Medical College & Hospital, Meerut",Meerut,Society,150,
479,Uttar Pradesh,"Muzaffarnagar Medical College, Muzaffarnagar",Muzaffarnagar,Trust,150,500
480,Uttar Pradesh,"Prasad Institute of Medical Sciences, Lucknow",Lucknow,Trust,0,350
481,Uttar Pradesh,Rajkiya Allopathic Medical College,Bahraich,Govt.,,
482,Uttar Pradesh,"Rajshree Medical Research Institute, Bareilly",Bareilly,Trust,150,300
483,Uttar Pradesh,"Rama Medical College and Hospital , Kanpur",Kanpur,Trust,100,693
484,Uttar Pradesh,"Rama Medical College Hospital and Research Centre, Hapur",Hapur,Trust,150,600
485,Uttar Pradesh,"Rohilkhand Medical College & Hospital, Bareilly",Bareilly,Trust,150,600
486,Uttar Pradesh,"S N Medical College, Agra",Agra,Govt.,150,1047
487,Uttar Pradesh,"Santosh Medical College, Ghaziabad",Ghaziabad,Trust,100,700
488,Uttar Pradesh,"Saraswati Institute of Medical Sciences, Hapur",Hapur,Trust,150,500
489,Uttar Pradesh,"Saraswati Institute of Medical Sciences, Unnao",Unnao,Trust,150,320
490,Uttar Pradesh,"School of Medical Sciences & Research, Greater Noida",Greater Noida,Trust,150,500
491,Uttar Pradesh,"Shaikh-UL-Hind Maulana Mahmood Hasan Medical College, 
Saharanpur",Saharanpur,Govt,100,500
492,Uttar Pradesh,"Shri Ram Murti Smarak Institute of Medical Sciences, Bareilly",Bareilly,Trust,100,650
493,Uttar Pradesh,"Subharti Medical College, Meerut",Meerut,Trust,100,800
494,Uttar Pradesh,"T.S Mishra Medical College & Hospital, Amusi, Lucknow",Lucknow,Private,150,300
495,Uttar Pradesh,"Teerthanker Mahaveer Medical College, Moradabad",Moradabad,Trust,150,550
496,Uttar Pradesh,"Uttar pradesh University of Medical Sciences, Etawah",Etawah,Govt.,150,750
497,Uttar Pradesh,"Varun Arjun Medical College, Banthra, Sahajahanpur",Sahajahanpur,Trust,0,300
498,Uttar Pradesh,"Venkateshwara Institute of Medical Sciences, Gajraula",Gajraula,Trust,0,300
499,Uttarakhand,"All India Institute of Medical Sciences, Rishikesh",Rishikesh,Govt,100,
500,Uttarakhand,"Doon Medical College, Dehradun",Dehradun,Govt,150,300
501,Uttarakhand,"Government Medical College (Prev.Uttarakhand Forest 
Hospital Trust Med.Col.), Haldwani",Haldwani,Govt.,100,600
502,Uttarakhand,"Himalayan Institute of Medical Sciences, Dehradun",Dehradun,Trust,100,750
503,Uttarakhand,"Shri Guru Ram Rai Institute of Medical & Health Sciences, 
Dehradun",Dehradun,Society,150,1000
504,Uttarakhand,"Veer Chandra Singh Garhwali Govt. Medical Sc. & Research 
Instt, Srinagar, Pauri Garhwal","Srinagar,",Govt.,100,300
505,West Bengal,"Bankura Sammilani Medical College, Bankura",Bankura,Govt.,150,1217
506,West Bengal,"Burdwan Medical College, Burdwan",Burdwan,Govt.,150,1105
507,West Bengal,"Calcutta National Medical College, Kolkata",Kolkata,Govt.,200,1470
508,West Bengal,"College of Medicine and JNM Hospital,Kalyani,Nadia",Nadia,Govt.,100,
509,West Bengal,"College of Medicine and Sagore Dutta Hospital, Kolkata",Kolkata,Govt.,100,900
510,West Bengal,Coochbehar Government Medical College & Hospital,Coochbehar,Govt.,,
511,West Bengal,Diamond Harbour Government Medical College and Hospital,Diamon Harbour,Govt.,,
512,West Bengal,"Employees State Insurance Corporation Medical College, 
Joka, Kolkata",Kolkata,Govt.,100,550
513,West Bengal,"Gauri Devi Institute of Medical Sciences and Hospital, 
Durgapur",Durgapur,Society,0,
514,West Bengal,"ICARE Institute of Medical Sciences & Research, Haldia, 
Purba Midanpore",Haldia,Trust,0,
515,West Bengal,"Institute of Postgraduate Medical Education & Research, 
Kolkata",Kolkata,Govt.,150,1775
516,West Bengal,"IQ-City Medical College, Burdwan",Burdwan,Trust,150,322
517,West Bengal,"Jagannath Gupta Institute of Medical Sciences & Hospital, 
Kolkata",Kolkata,Trust,150,
518,West Bengal,"KPC Medical College,Jadavpur, Kolkata",Kolkata,Trust,150,750
519,West Bengal,"Malda Medical College & Hospital, Malda",Malda,Govt.,100,750
520,West Bengal,"Medical College, Kolkata",Kolkata,Govt.,250,2010
521,West Bengal,"Midnapore Medical College, Midnapore",Midnapore,Govt.,150,740
522,West Bengal,"Murshidabad Medical College & Hospitals, Murshidabad",Murshidabad,Govt.,100,820
523,West Bengal,"Nilratan Sircar Medical College, Kolkata",Kolkata,Govt.,250,1890
524,West Bengal,"North Bengal Medical College, Darjeeling",Siliguri,Govt.,150,599
525,West Bengal,Raiganj Government Medical College & Hospital,Raiganj,Govt.,,
526,West Bengal,Rampurhat Government Medical College & Hospital,Rampurhat,Govt.,,
527,West Bengal,"RG Kar Medical College, Kolkata",Kolkata,Govt.,200,1210
528,West Bengal,"Shri Ramkrishna Institute of Medical Sciences & Sanaka 
Hospitals",Durgapur,Trust,,
