Id,Scheme/Programme/Institute,2016-17 (BE),2016-17 (Actuals),2017-18 (BE),2017-18 (Actuals),2018-19 (BE),2018-19 (Actuals)
2.15,"Establishment and strengthening of NCDC Branches and Health Initiatives – 
Inter Sectoral Co-ordination for preparation and control of Zoonotic Diseases 
and other neglected tropical diseases, surveillance of Viral Hepatitis, Anti-
Microbial Resistance",0,0,0,0,0,0
,Total - Central Sector Schemes/Projects,4788.92,4302.41,6966.68,4861.38,6966.68,4861.38
3,"Other Central Expenditure, including those on CPSEs and Autonomous Bodies",,,,,,
3.01,Medical Treatment of CGHS Pensioners (PORB),1085,1237.42,1402.79,1431.56,1402.79,1431.56
3.02,Purchase of Material in India and Abroad,295,291.62,310,0,310,0
,Deduct Recoveries,-295,-169.92,-310,0,-310,0
,Net,0,121.7,0,0,0,0
3.03,International Cooperation/ International Health,,,,,,
,(i) Contribution to IRCS,0.06,0,0.01,0,0.01,0
,(ii) Contribution to WHO,24,22.68,30,30.01,30,30.01
,(iii) Delegation to International Conference,4,1.96,4,3.88,4,3.88
,(IV) Int. Conf. on Med. & Public Health,2.6,1.09,0.5,0.26,0.5,0.26
,(v) Codex Trust Fund (CTF),0.1,0,0,0,0,0
,(vi) Membership for International Org.,8,5.46,8,5.78,8,5.78
,(vii) International Co-operation (FW),0,0,0,0,0,0
,Total,38.76,31.19,42.51,39.93,42.51,39.93
3.04,Other Miscellaneous Expenditure,,,,,,
,Oversight Committee,75,90.5,139.31,138.67,139.31,138.67
,National Centre for Disease Control Programme,28.2,26.41,57.46,35.19,57.46,35.19
,Public Health Foundation of India (PHFI),0,0,0,0,0,0
,Discretionary Grant,3,2.45,3.21,2.16,3.21,2.16
,Haj Pilgrims,7,4.95,4,4,4,4
,Rashtriya Arogya Nidhi,36,28,42,31.5,42,31.5
,Award of Prizes in Hindi,0.08,0.06,0.08,0.05,0.08,0.05
,Award of Prizes to Govt. Hospitals/Institutions under Kaya Kalp Scheme,0,6,11.6,4.5,11.6,4.5
,Counselling for UG/PG seats in Government Colleges,1.37,0.55,1.47,0,1.47,0
,Deduct Recoveries,-1.37,0,-1.47,,-1.47,
,Net,0,0.55,0,,0,
,Rashtriya Swasthya Bima Yojna (RSBY),,,,,,
,Establishment of Stem Cell Donor Registry (New),0,0,3.03,0.03,3.03,0.03
,Total - Deduct Recovery,-1.37,0,-1.47,0,-1.47,0
,Total - Net,149.28,158.92,260.69,216.1,260.69,216.1
3.05,Autonomous Bodies and PSUs,,,,,,
,Statutory Bodies,,,,,,
1,"All India Institute of Medical Sciences (AIIMS), New Delhi",2043,2288,2400,2400,2400,2400
2,"Post Graduate Institute of Medical Education & Research, Chandigarh",728.55,938.08,1139.6,1077.47,1139.6,1077.47
3,"Jawaharlal Institute of Post Graduate Medical Education & Research, 
Puducherry",874,859.02,1034.63,951.28,1034.63,951.28
4,"National Institute of Mental Health & Neuro-Sciences, Bangaluru",293,302.3,350.94,298.44,350.94,298.44
5,"NEIGRIHMS, Shillong",300,245.35,200,114.56,200,114.56
6,"RIMS, Imphal",269,269,190,190,190,190
7,"RIPANS, Aizawl",75,42.05,42,12.93,42,12.93
8,"LGBRIMH, Tejpur",100,78.69,80,34.75,80,34.75
9,Other Autonomous Bodies,,,,,,
,"Lala Ram Swarup Institute of T.B. and Allied Diseases, New Delhi",63.5,64.7,71,71,71,71
,"Vallabh Bhai Patel Chest Institute, Delhi University",51,51,62.38,46.78,62.38,46.78
,"Kasturba Health Society, Wardha",55,55,63.85,63.85,63.85,63.85
,"Cancer Control (CNCI, Kolkata)",70,67.71,121.26,97.45,121.26,97.45
,"All India Institute of Speech & Hearing, Mysore",75,51.36,128.02,52.54,128.02,52.54
,"NIBS & Quality Control, Noida",37,29.62,39.42,29.3,39.42,29.3
,"Pasteur Institute of India, Conoor",54.5,50.5,70,65,70,65
,New Delhi TB Centre,3.5,3.47,4.06,4.06,4.06,4.06
,Indian Red Cross Society,0.4,0.4,0.4,0.4,0.4,0.4
,St. Johns Ambulance,0.04,0.04,0.04,0.04,0.04,0.04
,Institute of Human Behavior & Allied Sciences,0,0,0,0,0,0
,"NIHFW, New Delhi",52.5,49.59,58.3,52.18,58.3,52.18
,"IIPS, Mumbai",28.78,21.31,32,25.52,32,25.52
,Total,491.22,444.7,650.73,508.12,650.73,508.12
,Regulatory Bodies,,,,,,
10,Food Safety & SAI,72,59.61,133.58,126.44,133.58,126.44
11,Indian Pharmacopeia Commission,24.5,29,33.44,22.27,33.44,22.27
12,Medical Council of India,1,1,1,0.7,1,0.7
13,Dental Council of India,0.2,0.2,0.25,0.21,0.25,0.21
14,Pharmacy Council of India,0.2,0.2,0.2,0.2,0.2,0.2
15,Indian Nursing Council,0.21,0,0.21,0.21,0.21,0.21
16,National Academy of Medical Sciences,1.55,1.39,1.8,1.65,1.8,1.65
17,National Board of Examination,0.01,0,0.01,0,0.01,0
,Total - Regulatory Bodies,99.67,91.4,170.49,151.68,170.49,151.68
,Total - Autonomous Bodies,5273.44,5558.59,6258.39,5739.23,6258.39,5739.23
,PSUs,,,,,,
18,HLL Life Care Limited,60,0,0,0,0,0
,Total - Autonomous Bodies and PSUs,5333.44,5558.59,6258.39,5739.23,6258.39,5739.23
,"Total - Other Central Expenditure, including those on CPSEs and Autonomous 
Bodies",6606.48,7107.82,7964.38,7426.82,7964.38,7426.82
,Total,15199.55,14936.98,19661.81,16134.08,19661.81,16134.08
,Centrally Sponsored Scheme (CSS),,,,0,,0
4,Transfer to State,,,,,,
4.1,Tetiary Care Programme/Scheme,,,,,,
,(1) National Tobacco Control Programme,25,18.27,0,,0,
,(2) National Mental Health Programme,35,33.95,0,,0,
,(3) Assistance for Capacity Building for Trauma Centers,,,,,,
,(i) Trauma Centers,128.5,113.81,0,,0,
,(ii) Prevention of Burn Injury,71.5,53.77,0,,0,
,Total,200,167.58,0,0,0,0
,"(4) National Prog. for Prevention and Control of  Cancer, Diabetes, 
Cardiovascular Diseases and Stroke",300,285.92,0,0,0,0
,(5) Health Care for the Elderly,110,94.24,0,0,0,0
,(6) National Prog. for Control of Blindness,15,13.38,0,0,0,0
,(7) Telemedicine,40,27.9,0,0,0,0
,Total - Tertiary Care Programme/Scheme,725,641.24,0,0,0,0
4.2,Human Resources for Health & Medical Education,,,,0,,0
,(i) Upgrd./Streng. of Nursing Services (ANM/GNM),25,25,0,0,0,0
,(ii) Strengthening/Upgrd. of Pharmacy Sch./Coll.,5,1.57,0,0,0,0
,(iii) Streng./Creation of Paramedical Inst. (RIPS/NIPS),0,0,0,0,0,0
,"(iv) District Hospital – Up-gradation of State Government Medical Colleges (PG 
Seats)",10,20,0,0,0,0
,"(v) Strengthening Govt. Medical Colleges (UG Seats) and Central Govt. Health 
Institutions",110,155,0,0,0,0
,(vi) Establishing New Medical Colleges (Upgrading District Hospitals),445,1293.69,0,0,0,0
,"(vii) Setting up of State institutions of paramedical sciences in States and 
Setting up of College of Paramedical Education",5,1.3,0,0,0,0
,(viii) Setting up of College of pharmacy in Govt. Medical Colleges,0,0,0,0,0,0
,(ix) Strengthening of District hospitals for providing advanced secondary care,0,0,0,0,0,0
,(x) Innovation based schemes,0,0,0,0,0,0
,Total - Human Resources for Health,600,1496.56,0,0,0,0
,Total - Transfer to State,1325,2137.8,0,0,0,0
,Grand Total - Net,16524.55,17074.78,19661.81,16134.08,19661.81,16134.08
