S No.,Scheme/Programme/Institute,2019-20
,Total - Other Miscellaneous Expenditure (Net),245.87
3.05,Autonomous Bodies and PSUs,
,Statutory Bodies,
1,"All India Institute of Medical Sciences (AIIMS), New Delhi",3599.65
2,"Post Graduate Institute of Medical Education & Research, Chandigarh",1500.00
3,"Jawaharlal Institute of Post Graduate Medical Education & Research, Puducherry",1100.00
4,"National Institute of Mental Health & Neuro-Sciences, Bangaluru",450.00
5,"NEIGRIHMS, Shillong",350.00
6,"RIMS, Imphal",450.00
7,"RIPANS, Aizawl",35.18
8,"LGBRIMH, Tejpur",60.00
9,Other Autonomous Bodies,
,"Lala Ram Swarup Institute of T.B. and Allied Diseases, New Delhi",81.80
,"Vallabh Bhai Patel Chest Institute, Delhi University",65.50
,"Kasturba Health Society, Wardha",70.70
,"Cancer Control (CNCI, Kolkata)",134.50
,"All India Institute of Speech & Hearing, Mysore",137.47
,"NIBS & Quality Control, Noida",46.40
,"Pasteur Institute of India, Conoor",65.60
,New Delhi TB Centre,5.45
,Indian Red Cross Society,0.40
,St. Johns Ambulance,0.04
,Institute of Human Behavior & Allied Sciences,
,"NIHFW, New Delhi",68.25
,"IIPS, Mumbai",84.05
,Total,760.16
,Regulatory Bodies,
22,Food Safety & SAI,360.00
23,Indian Pharmacopeia Commission,32.10
24,Medical Council of India,1.00
25,Dental Council of India,0.40
26,Pharmacy Council of India,0.20
27,Indian Nursing Council,0.22
28,National Academy of Medical Sciences,1.80
29,National Board of Examination,0.01
,Total - Regulatory Bodies,395.73
,Total - Autonomous Bodies,8700.72
,PSUs,
30,HLL Life Care Limited,
,Total - Autonomous Bodies and PSUs,8700.72
C,"Total - Other Central Expenditure, including those on CPSEs and Autonomous Bodies",10519.19
,Grand Total (A+B+C)**,23097.12
,Centrally Sponsored Scheme (CSS),
4,Transfer to State,
4.1,Tertiary Care Programme/Scheme,
,(1) National Tobacco Control Programme,0.00
,(2) National Mental Health Programme,0.00
,(3) Assistance for Capacity Building for Trauma Centers,0.00
,(i) Trauma Centers,0.00
,(ii) Prevention of Burn Injury,0.00
,Total,0.00
,"(4) National Prog. for Prevention and Control of  Cancer, Diabetes, Cardiovascular Diseases and 
Stroke",0.00
,(5) Health Care for the Elderly,0.00
,(6) National Prog. for Control of Blindness,0.00
,(7) Telemedicine,0.00
,Total - Tertiary Care Programme/Scheme,0.00
4.2,Human Resources for Health & Medical Education,
,(i) Upgrd./Streng. of Nursing Services (ANM/GNM),0.00
,(ii) Strengthening/Upgrd. of Pharmacy Sch./Coll.,0.00
,(iii) Streng./Creation of Paramedical Inst. (RIPS/NIPS),0.00
,(iv) District Hospital - Upgradation of State Government Medical Colleges (PG Seats),0.00
,(v) Strengthening Govt. Medical Colleges (UG Seats) and Central Govt. Health Institutions,0.00
,(vi) Establishing New Medical Colleges (Upgrading District Hospitals),0.00
,"(vii) Setting up of State institutions of paramedical sciences in States and Setting up of College 
of Paramedical Education",0.00
,(viii) Setting up of College of pharmacy in Govt. Medical Colleges,0.00
,(ix) Strengthening of District hospitals for providing advanced secondary care,0.00
,(x) Innovation based schemes,0.00
,Total - Human Resources for Health,0.00
,Total - Transfer to State,0.00
,Grand Total**,18570.39
